Retention Time	Intensity	Intensity	Intensity
0	0	0	0
0.00333333341404796	400	0	0
0.00666666682809591	0	200	400
0.00999999977648258	0	0	400
0.0133333336561918	0	0	0
0.0166666675359011	0	0	0
0.0199999995529652	0	0	200
0.0233333334326744	0	0	0
0.0266666673123837	600	0	0
0.0299999993294477	0	0	400
0.0333333350718021	0	0	400
0.0366666652262211	0	400	0
0.0399999991059303	0	600	0
0.0433333329856396	0	0	200
0.0466666668653488	0	0	200
0.0500000007450581	0	0	0
0.0533500015735626	0	0	0
0.0566833317279816	0	0	0
0.0600166656076908	0	0	0
0.0633499994874001	0	0	0
0.066683329641819	0	0	0
0.0700166672468185	0	800	400
0.0733499974012375	0	0	0
0.076683335006237	0	0	0
0.080016665160656	0	200	0
0.0833500027656555	0	0	0
0.0866833329200745	0	0	400
0.0900166630744934	0	3000	0
0.093350000679493	0	0	0
0.0966833308339119	0	0	0
0.100016668438911	0	0	200
0.10334999859333	0	0	0
0.10668333619833	0	400	0
0.110016666352749	0	0	0
0.113349996507168	0	0	200
0.116683334112167	400	0	0
0.120016664266586	0	0	0
0.123350001871586	0	0	400
0.126683339476585	0	800	0
0.130016669631004	0	0	0
0.133349999785423	0	0	0
0.136683329939842	0	0	200
0.140016660094261	0	0	0
0.143350005149841	0	0	0
0.14668333530426	0	0	0
0.150016665458679	0	0	200
0.153349995613098	0	0	400
0.156683340668678	0	0	400
0.160016670823097	0	0	0
0.163350000977516	0	0	0
0.166683331131935	0	1000	400
0.170016661286354	200	0	0
0.173350006341934	0	0	400
0.176683336496353	0	0	0
0.180016666650772	0	0	0
0.183349996805191	0	0	200
0.18668332695961	0	0	400
0.19001667201519	0	0	400
0.193350002169609	0	0	0
0.196683332324028	0	1400	0
0.200033336877823	0	1000	0
0.203366667032242	0	0	0
0.206699997186661	0	0	200
0.21003332734108	0	600	0
0.21336667239666	0	0	0
0.216700002551079	0	0	0
0.220033332705498	0	0	0
0.223366662859917	0	0	0
0.226699993014336	0	0	0
0.230033338069916	0	0	400
0.233366668224335	0	0	0
0.236699998378754	0	0	400
0.240033328533173	0	0	0
0.243366673588753	0	0	0
0.246700003743172	0	0	0
0.250033318996429	0	0	0
0.253366678953171	0	200	200
0.25670000910759	0	0	0
0.260033339262009	0	0	1000
0.263366669416428	0	0	0
0.266699999570847	0	0	400
0.270033329725266	0	0	0
0.273366659879684	0	0	0
0.276699990034103	0	0	0
0.280033320188522	0	0	0
0.283366680145264	0	0	0
0.286700010299683	0	0	400
0.290033340454102	0	0	0
0.293366670608521	0	0	0
0.296700000762939	0	0	0
0.300033330917358	0	0	0
0.303366661071777	0	0	400
0.306699991226196	0	0	200
0.310033321380615	0	400	0
0.313366681337357	0	800	0
0.316700011491776	0	0	200
0.320033341646194	0	200	0
0.323366671800613	1800	0	400
0.326700001955032	0	800	0
0.330033332109451	0	3200	600
0.33336666226387	1600	3400	1000
0.336699992418289	2000	4800	2000
0.340033322572708	0	7201	200
0.343366652727127	0	5400	200
0.346716672182083	0	7400	1400
0.350050002336502	0	6600	200
0.353383332490921	0	2800	400
0.35671666264534	0	3400	400
0.360049992799759	0	6000	1600
0.363383322954178	0	4000	400
0.366716653108597	800	6400	2200
0.370050013065338	0	8201	0
0.373383343219757	0	4000	1200
0.376716673374176	800	3000	1200
0.380050003528595	200	1400	0
0.383383333683014	0	1800	1400
0.386716663837433	1800	0	600
0.390049993991852	200	1000	400
0.393383324146271	1800	0	1200
0.39671665430069	0	200	1000
0.400050014257431	0	1200	200
0.40338334441185	600	0	200
0.406733334064484	400	1000	200
0.410066664218903	1200	0	600
0.413399994373322	0	800	1600
0.41673332452774	2000	800	400
0.420066654682159	2400	1200	600
0.423400014638901	1800	2000	1600
0.42673334479332	1400	1400	200
0.430066674947739	400	1400	2800
0.433400005102158	1800	1600	3000
0.436733335256577	600	1600	1200
0.440066665410995	1200	1200	400
0.443399995565414	200	600	1400
0.446733325719833	1200	1800	1800
0.450066655874252	1200	1200	400
0.453399986028671	1600	1600	1400
0.456733345985413	1000	2000	400
0.460066676139832	200	1200	600
0.46340000629425	1600	2000	800
0.466733336448669	0	2200	200
0.470066666603088	0	3800	1000
0.473399996757507	600	1200	1400
0.476749986410141	3200	2600	400
0.480083346366882	800	1600	400
0.483416676521301	600	1200	600
0.48675000667572	1800	1600	0
0.490083336830139	3000	600	1800
0.493416666984558	3400	2600	400
0.496749997138977	2400	7400	600
0.500083327293396	1400	2800	0
0.503416657447815	7800	4600	1800
0.506749987602234	11201	7801	1000
0.510083317756653	22005	7400	600
0.513416647911072	21005	9400	5000
0.516749978065491	36813	7000	2600
0.52008330821991	40814	12201	3200
0.523416638374329	31809	9401	5200
0.526750028133392	26607	11401	6000
0.530083358287811	38213	14401	4200
0.53341668844223	38413	15000	3600
0.536750018596649	27207	12401	6600
0.540083348751068	27607	6800	3400
0.543416678905487	14202	5400	6600
0.546750009059906	21405	9800	4800
0.550083339214325	15202	10200	5000
0.553416669368744	16402	7200	2600
0.556749999523163	6800	6800	5800
0.560100018978119	8201	3000	2200
0.563433349132538	4400	3800	2400
0.566766679286957	3800	3400	1600
0.570100009441376	4800	2200	8601
0.573433339595795	4600	6800	600
0.576766669750214	5000	2800	2200
0.580099999904633	2000	3600	1800
0.583433330059052	800	1800	2600
0.58676666021347	4400	4600	1000
0.590099990367889	1000	2000	2000
0.593433320522308	0	2400	3200
0.596766650676727	800	800	400
0.600099980831146	1600	2000	4400
0.603433310985565	600	3600	800
0.606766641139984	0	3200	3400
0.610099971294403	2200	1600	400
0.613433361053467	4200	3400	3400
0.616766691207886	1000	800	0
0.620100021362305	0	1000	200
0.623433351516724	400	600	0
0.626766681671143	600	400	1000
0.630100011825562	800	1200	1000
0.63343334197998	1800	2200	0
0.636766672134399	0	1600	800
0.640100002288818	0	2200	200
0.643433332443237	0	0	1600
0.646766662597656	1400	1200	1800
0.650116682052612	1000	400	0
0.653450012207031	600	1000	0
0.65678334236145	0	1800	200
0.660116672515869	600	600	1000
0.663466691970825	0	400	600
0.666800022125244	0	1600	1600
0.670133352279663	1600	200	200
0.673483312129974	400	400	600
0.676816642284393	0	200	400
0.680149972438812	0	0	0
0.683499991893768	200	600	0
0.686833322048187	200	3600	600
0.690166652202606	800	600	1000
0.693499982357025	400	1000	400
0.696833312511444	1200	0	0
0.700166642665863	1800	600	800
0.703516662120819	1000	1200	0
0.706849992275238	1000	0	800
0.710183322429657	1000	200	400
0.713516652584076	800	0	1200
0.716849982738495	1400	400	0
0.720183312892914	1000	400	200
0.723516643047333	0	200	0
0.726849973201752	2000	0	400
0.730183362960815	0	0	200
0.733516693115234	1400	200	1000
0.736866652965546	1400	1000	600
0.740199983119965	1600	600	0
0.743533313274384	200	800	400
0.746866643428802	1200	1000	1200
0.750199973583221	0	1200	200
0.75353330373764	200	200	200
0.756866693496704	1000	800	400
0.760200023651123	1800	400	1800
0.763533353805542	1000	800	200
0.766866683959961	200	2000	800
0.77020001411438	600	1200	1000
0.773533344268799	400	1600	0
0.776866674423218	1200	400	0
0.780200004577637	400	1400	0
0.783533334732056	1000	1800	200
0.786866664886475	200	600	0
0.790199995040894	0	600	0
0.793533325195313	0	400	200
0.796866655349731	1000	1400	0
0.80019998550415	400	1400	2000
0.803533315658569	400	1000	200
0.806866645812988	0	1600	1000
0.810199975967407	0	0	400
0.813533306121826	0	2000	0
0.81686669588089	600	2800	400
0.820200026035309	1600	1800	200
0.823533356189728	800	1600	400
0.826866686344147	400	400	400
0.830200016498566	200	800	400
0.833533346652985	0	0	400
0.836866676807404	0	1400	0
