Retention Time	Intensity	Intensity	Intensity
2.40358328819275	800	200	400
2.40691661834717	1000	0	200
2.41024994850159	1000	0	1000
2.41358327865601	0	0	0
2.41691660881042	600	0	0
2.42024993896484	1400	800	0
2.42358326911926	0	0	0
2.42691659927368	2000	0	0
2.4302499294281	1000	0	2000
2.43358325958252	1200	0	200
2.43691658973694	0	0	0
2.44024991989136	0	0	400
2.44358325004578	0	0	0
2.4469165802002	0	0	0
2.45024991035461	2200	0	0
2.45358324050903	600	1200	200
2.45691657066345	0	800	0
2.46024990081787	1200	0	600
2.46358323097229	400	0	0
2.46691656112671	600	400	200
2.47024989128113	2800	0	0
2.47358322143555	1000	0	200
2.47691655158997	1600	0	0
2.48024988174438	1200	0	800
2.48358345031738	200	0	0
2.4869167804718	0	0	0
2.49025011062622	1000	0	600
2.49358344078064	1600	0	0
2.49691677093506	1600	0	0
2.50026655197144	800	600	0
2.50359988212585	1000	0	0
2.50693345069885	1600	0	0
2.51026678085327	0	0	0
2.51360011100769	0	0	200
2.51693344116211	0	0	0
2.52026677131653	1000	0	0
2.52360010147095	3000	400	0
2.52693343162537	1400	0	0
2.53026676177979	1600	0	400
2.5336000919342	600	0	600
2.53693342208862	1200	0	0
2.54026675224304	0	200	1400
2.54360008239746	0	200	400
2.54693341255188	2200	0	1200
2.5502667427063	1800	0	200
2.55360007286072	0	0	0
2.55693340301514	600	400	800
2.56026673316956	1200	0	1400
2.56360006332397	400	0	1400
2.56693339347839	2200	0	3800
2.57026672363281	2400	0	3400
2.57360005378723	2200	0	4400
2.57693338394165	400	400	13803
2.58026671409607	0	1000	53851
2.58360004425049	0	1200	142154
2.58693337440491	1000	2400	305227
2.59026670455933	0	3400	594746
2.59360003471375	1200	5200	961152
2.59693336486816	0	10602	1362229
2.60028338432312	0	12603	1923042
2.60361671447754	0	16405	2640710
2.60695004463196	400	18806	3207606
2.61030006408691	1200	41230	3545209
2.61363339424133	0	39427	4395913
2.61698341369629	0	65275	4088453
2.62031674385071	0	115233	4222742
2.62365007400513	0	107201	3679142
2.62698340415955	0	147179	2999850
2.6303334236145	2600	147581	2533372
2.63366675376892	0	164473	1886087
2.63700008392334	0	188622	1368101
2.64033341407776	800	179967	956810
2.64366674423218	400	181174	772128
2.64701676368713	200	208359	478791
2.65035009384155	0	188824	334351
2.65368342399597	1000	173527	204129
2.65701675415039	0	171314	156428
2.66035008430481	600	178357	113827
2.66368341445923	400	132507	95159
2.66701674461365	0	127083	67279
2.67035007476807	0	119249	59462
2.67368340492249	800	93955	46237
2.6770167350769	800	96764	44435
2.68035006523132	1200	64874	43032
2.68368339538574	0	60264	33420
2.6870334148407	0	41230	29615
2.69036674499512	0	28214	36223
2.69370007514954	0	25211	17205
2.69703340530396	0	17405	18406
2.70036673545837	800	21608	22409
2.70370006561279	400	14003	34421
2.70703339576721	0	5000	20607
2.71036672592163	0	7801	16805
2.71370005607605	1800	6601	10602
2.71703338623047	0	6601	11602
2.72036671638489	600	5401	14204
2.72370004653931	0	3800	17205
2.72703337669373	0	200	14404
2.73036670684814	0	2800	12203
2.73370003700256	1400	1000	17605
2.73703336715698	0	3400	4200
2.7403666973114	200	1200	8601
2.74370002746582	200	200	9001
2.74705004692078	400	1200	7201
2.7503833770752	400	2200	7801
2.75371670722961	1200	2200	8801
2.75705003738403	400	1600	5200
2.76038336753845	0	800	5601
2.76371669769287	0	2800	13403
2.76705002784729	0	400	8201
2.77038335800171	400	1200	4400
2.77371668815613	1000	600	3400
2.77705001831055	1000	600	4400
2.78038334846497	2000	800	6401
2.78371667861938	0	2400	6401
2.7870500087738	0	600	4200
2.79038333892822	0	200	1800
2.79371666908264	400	0	7601
2.79704999923706	0	400	2000
