strain	replicate	tech_avg	blank_avg	norm
BHI blank	1	156.54925	254.3759167	0.615424809
BHI blank	2	222.2925	254.3759167	0.873874001
BHI blank	3	384.286	254.3759167	1.51070119
Dif02	1	6768.96175	254.3759167	26.61007315
Dif02	2	5883.08675	254.3759167	23.12753041
Dif02	3	2766.8305	254.3759167	10.87693574
Sym01	1	4546.2215	254.3759167	17.87205943
Sym01	2	22768.9335	254.3759167	89.50899832
Sym01	3	7566.451	254.3759167	29.74515472
Gna01	1	2656.68025	254.3759167	10.44391421
Gna01	2	2522.13875	254.3759167	9.915006038
Gna01	3	1277.4365	254.3759167	5.021845293
