strain	replicate	tech_average	cont_average	ratio to blank	reducer	bili	name
5_alpha	1	222.97275	464.1285833	0.480411589	FALSE	TRUE	E. coli 5-alpha
5_alpha	2	199.3855	464.1285833	0.429591081	FALSE	TRUE	E. coli 5-alpha
5_alpha	3	242.935	464.1285833	0.52342176	FALSE	TRUE	E. coli 5-alpha
5_alpha	1	112.91075	116.0696667	0.972784305	FALSE	FALSE	E. coli 5-alpha
5_alpha	2	173.5415	116.0696667	1.495149464	FALSE	FALSE	E. coli 5-alpha
5_alpha	3	156.10425	116.0696667	1.344918569	FALSE	FALSE	E. coli 5-alpha
Ado01	1	335.152	464.1285833	0.722110234	FALSE	TRUE	Bifidobacterium adolescentis - L2-32
Ado01	2	312.37325	464.1285833	0.673031701	FALSE	TRUE	Bifidobacterium adolescentis - L2-32
Ado01	3	274.14025	464.1285833	0.590655822	FALSE	TRUE	Bifidobacterium adolescentis - L2-32
Ado01	1	65.1235	116.0696667	0.561072517	FALSE	FALSE	Bifidobacterium adolescentis - L2-32
Ado01	2	96.5635	116.0696667	0.831944321	FALSE	FALSE	Bifidobacterium adolescentis - L2-32
Ado01	3	117.61725	116.0696667	1.013333228	FALSE	FALSE	Bifidobacterium adolescentis - L2-32
BHI	1	168.86275	202.4295833	0.834180199	TRUE	TRUE	BHI Blank
BHI	2	103.5375	202.4295833	0.511474155	TRUE	TRUE	BHI Blank
BHI	3	334.8885	202.4295833	1.654345647	TRUE	TRUE	BHI Blank
BHI	1	408.83225	464.1285833	0.880859884	FALSE	TRUE	BHI Blank
BHI	2	456.581	464.1285833	0.983738163	FALSE	TRUE	BHI Blank
BHI	3	526.9725	464.1285833	1.135401953	FALSE	TRUE	BHI Blank
BHI	1	92.52575	116.0696667	0.797157023	FALSE	FALSE	BHI Blank
BHI	2	116.58775	116.0696667	1.004463555	FALSE	FALSE	BHI Blank
BHI	3	139.0955	116.0696667	1.198379421	FALSE	FALSE	BHI Blank
BHI	1	318.03625	332.8319167	0.95554613	TRUE	FALSE	BHI Blank
BHI	2	262.0165	332.8319167	0.787233696	TRUE	FALSE	BHI Blank
BHI	3	418.443	332.8319167	1.257220173	TRUE	FALSE	BHI Blank
BHI	1	228.201	255.9589167	0.891553234	TRUE	FALSE	BHI Blank
BHI	2	216.04975	255.9589167	0.844079795	TRUE	FALSE	BHI Blank
BHI	3	323.626	255.9589167	1.26436697	TRUE	FALSE	BHI Blank
BL21	1	304.021	464.1285833	0.655036149	FALSE	TRUE	E. coli BL21
BL21	2	218.636	464.1285833	0.471067734	FALSE	TRUE	E. coli BL21
BL21	3	466.00075	464.1285833	1.004033724	FALSE	TRUE	E. coli BL21
BL21	1	133.891	116.0696667	1.153539971	FALSE	FALSE	E. coli BL21
BL21	2	130.42	116.0696667	1.123635517	FALSE	FALSE	E. coli BL21
BL21	3	117.27375	116.0696667	1.010373798	FALSE	FALSE	E. coli BL21
Bol01	1	565.9055	464.1285833	1.219286035	FALSE	TRUE	Clostridium boltae CC43_001B
Bol01	2	551.10775	464.1285833	1.187403168	FALSE	TRUE	Clostridium boltae CC43_001B
Bol01	3	534.53475	464.1285833	1.151695391	FALSE	TRUE	Clostridium boltae CC43_001B
Bol01	1	81.71275	116.0696667	0.703997455	FALSE	FALSE	Clostridium boltae CC43_001B
Bol01	2	72.98925	116.0696667	0.628840007	FALSE	FALSE	Clostridium boltae CC43_001B
Bol01	3	113.47025	116.0696667	0.977604685	FALSE	FALSE	Clostridium boltae CC43_001B
Cell01	1	385.213	464.1285833	0.82997043	FALSE	TRUE	Bacteroides cellulosilytious - CL02T12C19
Cell01	2	486.67425	464.1285833	1.048576337	FALSE	TRUE	Bacteroides cellulosilytious - CL02T12C19
Cell01	3	478.596	464.1285833	1.031171139	FALSE	TRUE	Bacteroides cellulosilytious - CL02T12C19
Cell01	1	100.85725	116.0696667	0.86893719	FALSE	FALSE	Bacteroides cellulosilytious - CL02T12C19
Cell01	2	258.6225	116.0696667	2.228166129	FALSE	FALSE	Bacteroides cellulosilytious - CL02T12C19
Cell01	3	147.0875	116.0696667	1.26723462	FALSE	FALSE	Bacteroides cellulosilytious - CL02T12C19
Clo01	1	616.801	464.1285833	1.328944224	FALSE	TRUE	Clostridium clostridioforme - 2_1_49FAA
Clo01	2	584.818	464.1285833	1.260034441	FALSE	TRUE	Clostridium clostridioforme - 2_1_49FAA
Clo01	3	709.06275	464.1285833	1.527729115	FALSE	TRUE	Clostridium clostridioforme - 2_1_49FAA
Clo01	1	188.837	116.0696667	1.62692808	FALSE	FALSE	Clostridium clostridioforme - 2_1_49FAA
Clo01	2	222.2365	116.0696667	1.914681986	FALSE	FALSE	Clostridium clostridioforme - 2_1_49FAA
Clo01	3	207.32275	116.0696667	1.786192344	FALSE	FALSE	Clostridium clostridioforme - 2_1_49FAA
Col02	1	641.816	464.1285833	1.382840926	FALSE	TRUE	Clostridium clostridioforme Strain WAL-7855
Col02	2	574.08125	464.1285833	1.236901304	FALSE	TRUE	Clostridium clostridioforme Strain WAL-7855
Col02	3	754.76325	464.1285833	1.626194286	FALSE	TRUE	Clostridium clostridioforme Strain WAL-7855
Col02	1	109.42325	116.0696667	0.942737695	FALSE	FALSE	Clostridium clostridioforme Strain WAL-7855
Col02	2	181.4795	116.0696667	1.563539426	FALSE	FALSE	Clostridium clostridioforme Strain WAL-7855
Col02	3	226.445	116.0696667	1.950940383	FALSE	FALSE	Clostridium clostridioforme Strain WAL-7855
Dif02	1	438.8975	332.8319167	1.318676118	TRUE	FALSE	Peptoclostridium difficile -- CD3
Dif02	2	344.4065	332.8319167	1.034776062	TRUE	FALSE	Peptoclostridium difficile -- CD3
Dif02	3	505.696	332.8319167	1.519373517	TRUE	FALSE	Peptoclostridium difficile -- CD3
