strain	replicate	tech_average	cont_average	ratio to blank	name
VC	1	332.69775	254.3396667	1.308084399	pET28a+
VC	2	240.7795	254.3396667	0.946684814	pET28a+
VC	3	189.54175	254.3396667	0.745230787	pET28a+
gna_bilr	1	9298.45325	254.3396667	36.55919413	pET_Gna_bilR
gna_bilr	2	6857.63875	254.3396667	26.96252157	pET_Gna_bilR
gna_bilr	3	11907.12225	254.3396667	46.81582863	pET_Gna_bilR
gna_bilrAA	1	475.53575	254.3396667	1.869687714	pET_Gna_bilR(166AA)
gna_bilrAA	2	247.73875	254.3396667	0.974046845	pET_Gna_bilR(166AA)
gna_bilrAA	3	1176.5565	254.3396667	4.62592609	pET_Gna_bilR(166AA)
VC	4	220.23325	248.1584167	0.887470403	pET28a+
VC	5	229.067	248.1584167	0.923067624	pET28a+
VC	6	295.175	248.1584167	1.189461973	pET28a+
gna_bilr	4	20701.977	248.1584167	83.42242538	pET_Gna_bilR
gna_bilr	5	19398.6475	248.1584167	78.17041936	pET_Gna_bilR
gna_bilr	6	17533.8195	248.1584167	70.65575181	pET_Gna_bilR
VC	7	100.86375	123.016	0.819923831	pET28a+
VC	8	152.33825	123.016	1.23836127	pET28a+
VC	9	115.846	123.016	0.941714899	pET28a+
gna_bilrAA	4	531.5495	123.016	4.320978572	pET_Gna_bilR(166AA)
gna_bilrAA	5	402.737	123.016	3.273858685	pET_Gna_bilR(166AA)
gna_bilrAA	6	560.08225	123.016	4.552921978	pET_Gna_bilR(166AA)
